,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ponta do Sol,0,BR,1562887714,58,-20.63,-46.0,56.57,2.84
1,Saint-Philippe,90,CA,1562887524,100,45.36,-73.48,80.6,3.36
2,Danshui,20,CN,1562887717,89,22.81,114.46,86.0,13.42
3,Longyearbyen,75,NO,1562887718,81,78.22,15.63,42.8,14.99
4,Hilo,40,US,1562887560,54,19.71,-155.08,84.2,11.41
5,Lashio,100,MM,1562887720,99,22.93,97.75,69.53,3.24
6,Ostrovnoy,100,RU,1562887443,95,68.05,39.51,40.19,25.03
7,Livadiya,100,RU,1562887722,97,42.87,132.68,58.19,3.49
8,Arraial do Cabo,0,BR,1562887723,93,-22.97,-42.02,60.8,5.82
9,Ribeira Grande,0,PT,1562887725,82,38.52,-28.7,71.15,3.49
10,Laguna,40,BZ,1562887460,74,16.17,-88.94,86.0,9.17
11,Cururupu,12,BR,1562887727,98,-1.82,-44.87,72.05,2.21
12,Provideniya,0,RU,1562887728,82,64.42,-173.23,55.4,11.18
13,Ayna,0,ES,1562887729,50,38.55,-2.07,79.0,8.05
14,Price,1,US,1562887730,17,39.6,-110.81,84.2,23.04
15,Cape Town,75,ZA,1562887483,100,-33.93,18.42,59.0,11.41
16,Kapaa,75,US,1562887474,74,22.08,-159.32,84.2,11.41
17,Merauke,82,ID,1562887734,78,-8.49,140.4,75.65,20.87
18,Cabedelo,20,BR,1562887614,88,-6.97,-34.84,75.2,4.7
19,Jamestown,76,AU,1562887523,79,-33.21,138.6,51.89,21.05
20,Kyren,100,RU,1562887737,95,51.68,102.13,50.09,3.74
21,Rikitea,22,PF,1562887599,80,-23.12,-134.97,73.67,17.36
22,Port Lincoln,89,AU,1562887569,69,-34.72,135.86,57.65,32.26
23,Butaritari,33,KI,1562887499,76,3.07,172.79,84.47,12.03
24,Garowe,93,SO,1562887742,63,8.41,48.48,76.91,25.34
25,Yellowknife,90,CA,1562887573,82,62.45,-114.38,59.0,4.7
26,Vaini,98,IN,1562887744,92,15.34,74.49,76.19,1.86
27,Te Anau,100,NZ,1562887745,94,-45.41,167.72,41.45,1.43
28,Ronne,0,FR,1562887747,68,48.45,0.83,66.2,5.82
29,Punta Arenas,90,CL,1562887748,93,-53.16,-70.91,41.0,14.99
30,Kavaratti,100,IN,1562887566,83,10.57,72.64,82.67,12.55
31,Norman Wells,75,CA,1562887567,66,65.28,-126.83,53.6,16.11
32,Guerrero Negro,0,MX,1562887751,83,27.97,-114.04,67.91,22.59
33,Bredasdorp,51,ZA,1562887752,87,-34.53,20.04,57.2,6.93
34,Rabo de Peixe,20,PT,1562887754,83,37.8,-25.58,69.8,5.82
35,Barrow,100,AR,1562887755,81,-38.31,-60.23,49.55,4.14
36,Alta Floresta,0,BR,1562887575,69,-9.87,-56.08,73.4,2.57
37,Richmond,90,CA,1562887757,73,49.16,-123.14,73.99,10.29
38,Hualmay,3,PE,1562887758,88,-11.1,-77.61,62.51,15.37
39,Port Alfred,14,ZA,1562887509,82,-33.59,26.89,63.0,5.99
40,Kovdor,100,RU,1562887761,95,67.56,30.47,36.77,5.93
41,Doda,92,IN,1562887762,79,33.14,75.55,60.71,3.58
42,Nanortalik,100,GL,1562887763,95,60.14,-45.24,38.93,3.78
43,Atuona,15,PF,1562887764,77,-9.8,-139.03,81.41,18.5
44,Vytegra,81,RU,1562887765,74,61.01,36.45,48.83,8.66
45,Bereznik,15,RU,1562887766,98,62.86,42.71,36.95,3.15
46,Hamilton,40,CA,1562887516,65,43.26,-79.87,80.01,10.29
47,Oranjestad,20,AW,1562887769,74,12.52,-70.03,82.4,17.22
48,Taltal,7,CL,1562887770,87,-25.41,-70.49,49.73,2.77
49,Chapada dos Guimaraes,0,BR,1562887771,36,-15.46,-55.75,80.6,4.7
50,Tuatapere,100,NZ,1562887772,80,-46.13,167.69,46.0,4.0
51,Salym,78,RU,1562887774,96,60.06,71.48,62.15,3.15
52,Spalding,76,AU,1562887775,91,-33.5,138.61,50.0,8.01
53,Walvis Bay,0,NA,1562887776,93,-22.95,14.51,59.0,3.36
54,Albany,90,US,1562887562,100,42.65,-73.75,78.8,4.27
55,Katsuura,90,JP,1562887778,94,33.93,134.5,77.0,4.7
56,Ushuaia,75,AR,1562887553,93,-54.81,-68.31,39.2,19.46
57,San Patricio,25,PY,1562887586,79,-26.98,-56.83,67.91,6.85
58,Keetmanshoop,0,NA,1562887782,16,-26.57,18.15,68.0,2.24
59,Nikolskoye,0,RU,1562887783,81,59.7,30.79,44.01,2.24
60,Kavieng,100,PG,1562887484,79,-2.57,150.8,82.13,17.49
61,Mataura,100,NZ,1562887726,80,-46.19,168.86,46.0,4.0
62,Paamiut,48,GL,1562887572,90,61.99,-49.67,43.07,7.09
63,Constitucion,75,MX,1562887787,40,23.99,-104.67,78.01,10.29
64,Avarua,5,CK,1562887789,76,-21.21,-159.78,73.31,2.82
65,Cherskiy,100,RU,1562887790,43,68.75,161.3,76.37,5.95
66,Chiang Khong,20,LA,1562887791,88,20.27,100.41,78.01,2.24
67,Bara,96,NG,1562887779,94,10.41,10.6,70.25,5.39
68,Bagdarin,0,RU,1562887794,75,54.44,113.59,66.65,2.93
69,Padang,75,ID,1562887795,94,-0.92,100.36,75.2,2.24
70,Amasya,75,TR,1562887796,87,40.65,35.83,61.0,5.61
71,Ilulissat,40,GL,1562887797,81,69.22,-51.1,46.4,4.7
72,Rio Tuba,92,PH,1562887798,73,8.51,117.43,83.03,7.67
73,Portland,90,US,1562887800,88,43.66,-70.25,70.0,6.93
74,Praia da Vitoria,20,PT,1562887801,88,38.73,-27.07,70.0,2.55
75,Castro,75,CL,1562887802,100,-42.48,-73.76,44.6,6.93
76,Chokurdakh,100,RU,1562887803,79,70.62,147.9,56.21,8.75
77,Astorga,0,BR,1562887805,38,-23.24,-51.66,73.4,7.2
78,Bharatpur,100,IN,1562887806,47,27.22,77.5,90.95,13.73
79,Carnarvon,0,ZA,1562887569,31,-30.97,22.13,48.83,6.13
80,Tommot,26,RU,1562887808,74,58.97,126.27,71.33,2.53
81,Bluff,0,AU,1562887636,37,-23.58,149.07,67.55,2.91
82,Kortkeros,90,RU,1562887811,100,61.81,51.56,46.0,2.24
83,Victoria,75,BN,1562887523,88,5.28,115.24,78.8,2.24
84,Den Helder,17,NL,1562887813,93,52.96,4.76,63.0,3.36
85,Pevek,50,RU,1562887814,73,69.7,170.27,47.39,5.08
86,Rochegda,24,RU,1562887816,98,62.67,43.41,36.59,3.09
87,Ishigaki,40,JP,1562887817,84,24.34,124.16,86.0,12.75
88,Rio Tercero,75,AR,1562887580,98,-32.17,-64.11,50.63,5.64
89,Thompson,75,CA,1562887819,82,55.74,-97.86,59.0,5.08
90,Salalah,90,OM,1562887820,100,17.01,54.1,78.8,5.82
91,Saint George,40,GR,1562887602,77,39.45,22.34,66.2,1.97
92,Hermanus,100,ZA,1562887728,97,-34.42,19.24,55.0,12.88
93,Iquitos,75,PE,1562887824,319,-3.75,-73.25,42.8,1.12
94,Honiara,75,SB,1562887825,100,-9.43,159.96,77.0,3.36
95,Zhoucheng,100,CN,1562887826,88,31.35,119.33,77.0,2.24
96,Lariano,0,IT,1562887827,78,41.73,12.83,73.4,2.24
97,Santa Cruz,58,BR,1562887829,82,-6.22,-36.02,69.53,10.18
98,Hasaki,75,JP,1562887830,94,35.73,140.83,68.0,8.05
99,Bang Len,20,TH,1562887831,69,14.02,100.17,82.4,8.05
100,Kaeo,100,NZ,1562887832,96,-35.1,173.78,57.99,11.01
101,Matay,0,EG,1562887833,45,28.42,30.79,79.25,9.17
102,Faanui,1,PF,1562887835,69,-16.48,-151.75,78.17,7.29
103,Puerto Ayora,20,EC,1562887577,65,-0.74,-90.35,77.0,17.22
104,Mahebourg,20,MU,1562887837,88,-20.41,57.7,68.0,4.7
105,Naron,20,ES,1562887838,93,43.52,-8.15,64.0,1.12
106,Kapuskasing,90,CA,1562887839,77,49.42,-82.43,59.0,4.7
107,Lorengau,68,PG,1562887579,74,-2.02,147.27,81.59,16.91
108,Pandan,58,PH,1562887842,72,11.72,122.09,83.57,5.35
109,Doha,0,QA,1562887598,34,25.29,51.53,95.0,4.7
110,Takoradi,97,GH,1562887844,90,4.89,-1.75,72.77,2.57
111,Busselton,78,AU,1562887845,99,-33.64,115.35,45.0,8.77
112,Troitsko-Pechorsk,2,RU,1562887846,93,62.71,56.19,43.79,2.64
113,Tura,100,RU,1562887847,80,64.27,100.22,56.57,12.03
114,Kieta,100,PG,1562887849,84,-6.22,155.63,79.97,9.8
115,Porosozero,97,RU,1562887850,89,62.72,32.71,41.09,4.88
